# BUSCO version is: 5.4.7 
# The lineage dataset is: glires_odb10 (Creation date: 2021-02-19, number of genomes: 24, number of BUSCOs: 13798)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at314147	Missing
1at314147	Missing
3at314147	Missing
9at314147	Missing
10at314147	Missing
14at314147	Missing
18at314147	Missing
21at314147	Missing
22at314147	Missing
23at314147	Missing
27at314147	Missing
33at314147	Missing
37at314147	Missing
38at314147	Missing
42at314147	Missing
44at314147	Missing
45at314147	Missing
47at314147	Missing
49at314147	Missing
51at314147	Missing
56at314147	Missing
57at314147	Missing
59at314147	Missing
60at314147	Missing
62at314147	Missing
68at314147	Missing
69at314147	Missing
71at314147	Missing
77at314147	Missing
83at314147	Missing
85at314147	Missing
91at314147	Missing
95at314147	Missing
103at314147	Missing
104at314147	Missing
106at314147	Missing
107at314147	Missing
108at314147	Missing
116at314147	Missing
118at314147	Missing
119at314147	Missing
121at314147	Missing
122at314147	Missing
123at314147	Missing
146at314147	Missing
150at314147	Missing
151at314147	Missing
156at314147	Missing
158at314147	Missing
160at314147	Missing
171at314147	Missing
173at314147	Missing
176at314147	Missing
177at314147	Missing
186at314147	Missing
188at314147	Missing
192at314147	Missing
196at314147	Missing
200at314147	Missing
206at314147	Missing
207at314147	Missing
213at314147	Missing
215at314147	Missing
218at314147	Missing
222at314147	Missing
224at314147	Missing
227at314147	Missing
233at314147	Missing
238at314147	Missing
239at314147	Missing
244at314147	Missing
252at314147	Missing
254at314147	Missing
268at314147	Missing
270at314147	Missing
275at314147	Missing
278at314147	Missing
279at314147	Missing
280at314147	Missing
281at314147	Missing
282at314147	Missing
291at314147	Missing
293at314147	Missing
296at314147	Missing
300at314147	Missing
307at314147	Missing
311at314147	Missing
316at314147	Missing
321at314147	Missing
323at314147	Missing
324at314147	Missing
329at314147	Missing
333at314147	Missing
335at314147	Missing
340at314147	Missing
341at314147	Missing
343at314147	Missing
346at314147	Missing
349at314147	Missing
350at314147	Missing
355at314147	Missing
358at314147	Missing
363at314147	Missing
366at314147	Missing
367at314147	Missing
370at314147	Missing
371at314147	Missing
372at314147	Missing
373at314147	Missing
380at314147	Missing
381at314147	Missing
384at314147	Missing
386at314147	Missing
392at314147	Missing
393at314147	Missing
394at314147	Missing
395at314147	Missing
397at314147	Missing
398at314147	Missing
400at314147	Missing
403at314147	Missing
405at314147	Missing
406at314147	Missing
410at314147	Missing
413at314147	Missing
415at314147	Missing
418at314147	Missing
425at314147	Missing
426at314147	Missing
433at314147	Missing
434at314147	Missing
436at314147	Missing
437at314147	Missing
441at314147	Missing
443at314147	Missing
446at314147	Missing
449at314147	Missing
451at314147	Missing
458at314147	Missing
463at314147	Missing
464at314147	Missing
466at314147	Missing
467at314147	Missing
470at314147	Missing
472at314147	Missing
473at314147	Missing
474at314147	Missing
475at314147	Missing
476at314147	Missing
479at314147	Missing
484at314147	Missing
487at314147	Missing
492at314147	Missing
502at314147	Missing
508at314147	Missing
510at314147	Missing
512at314147	Missing
517at314147	Missing
519at314147	Missing
522at314147	Missing
524at314147	Missing
527at314147	Missing
537at314147	Missing
542at314147	Missing
549at314147	Missing
552at314147	Missing
556at314147	Missing
561at314147	Missing
565at314147	Missing
566at314147	Missing
567at314147	Missing
572at314147	Missing
574at314147	Missing
580at314147	Missing
585at314147	Missing
586at314147	Missing
587at314147	Missing
593at314147	Missing
599at314147	Missing
601at314147	Missing
602at314147	Missing
608at314147	Missing
610at314147	Missing
613at314147	Missing
621at314147	Missing
623at314147	Missing
633at314147	Missing
636at314147	Missing
638at314147	Missing
639at314147	Missing
641at314147	Missing
644at314147	Missing
646at314147	Missing
653at314147	Missing
656at314147	Missing
659at314147	Missing
660at314147	Missing
661at314147	Missing
665at314147	Missing
671at314147	Missing
673at314147	Missing
674at314147	Missing
677at314147	Missing
678at314147	Missing
682at314147	Missing
683at314147	Missing
684at314147	Missing
687at314147	Missing
688at314147	Missing
689at314147	Missing
696at314147	Missing
698at314147	Missing
699at314147	Missing
700at314147	Missing
702at314147	Missing
703at314147	Missing
704at314147	Missing
705at314147	Missing
708at314147	Missing
712at314147	Missing
714at314147	Missing
718at314147	Missing
719at314147	Missing
722at314147	Missing
724at314147	Missing
732at314147	Missing
733at314147	Missing
737at314147	Missing
750at314147	Missing
751at314147	Missing
753at314147	Missing
758at314147	Missing
759at314147	Missing
760at314147	Missing
761at314147	Missing
762at314147	Missing
763at314147	Missing
764at314147	Missing
765at314147	Missing
767at314147	Missing
770at314147	Missing
774at314147	Missing
778at314147	Missing
780at314147	Missing
785at314147	Missing
788at314147	Missing
790at314147	Missing
791at314147	Missing
795at314147	Missing
796at314147	Missing
801at314147	Missing
804at314147	Missing
805at314147	Missing
807at314147	Missing
811at314147	Missing
813at314147	Missing
815at314147	Missing
818at314147	Missing
822at314147	Missing
828at314147	Missing
833at314147	Missing
836at314147	Missing
842at314147	Missing
843at314147	Missing
847at314147	Missing
848at314147	Missing
849at314147	Missing
851at314147	Missing
854at314147	Missing
859at314147	Missing
867at314147	Missing
869at314147	Missing
877at314147	Missing
881at314147	Missing
