#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965358.1_RagTag:7313-6858    -            152 6892at314147         -            719    0.0077   10.8  19.1   1   2   0.00043      0.15    6.5   0.3   668   690     3    25     1    37 0.54 -
NW_025965358.1_RagTag:7313-6858    -            152 6892at314147         -            719    0.0077   10.8  19.1   2   2   0.00025     0.088    7.3  14.4   414   527    45   151    30   152 0.80 -
NW_025965250.1_RagTag:154575-54238 -            212 6892at314147         -            719     0.022    9.3  17.0   1   2   1.9e-05    0.0068   11.0  10.8   399   546    18   157     7   160 0.79 -
NW_025965250.1_RagTag:154575-54238 -            212 6892at314147         -            719     0.022    9.3  17.0   2   2    0.0092       3.3    2.1   0.5   518   539   157   178   151   189 0.79 -
contig_31119_pilon:1895-1227       -            223 6892at314147         -            719      0.25    5.8  17.0   1   2    0.0039       1.4    3.4   7.3   402   532    25   151     7   165 0.61 -
contig_31119_pilon:1895-1227       -            223 6892at314147         -            719      0.25    5.8  17.0   2   2      0.01       3.7    1.9   7.5   431   543   112   218   111   222 0.65 -
contig_81532_pilon:2155-1715       -            147 6892at314147         -            719       7.6    0.9  18.3   1   2    0.0067       2.4    2.6   2.9   489   534    12    52     2    59 0.64 -
contig_81532_pilon:2155-1715       -            147 6892at314147         -            719       7.6    0.9  18.3   2   2     0.069        24   -0.8  13.1   414   505    51   142    39   146 0.83 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/6892at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results_flye/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results_flye/run_glires_odb10/hmmer_output/initial_run_results/6892at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/6892at314147.hmm /home/bgerda/guppy_SUP/busco_results_flye/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 17:17:08 2023
# [ok]
