#                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965155.1_RagTag:175000-176333  -            117 35742at314147        -            185   8.4e-25   84.1   0.0   1   1   4.1e-27   9.5e-25   83.9   0.0    53   155     1   102     1   113 0.94 -
NW_025965233.1_RagTag:149862-153124  -            174 35742at314147        -            185     8e-24   80.9   0.0   1   2   5.2e-17   1.2e-14   51.0   0.0     1    43    34    76    34    89 0.88 -
NW_025965233.1_RagTag:149862-153124  -            174 35742at314147        -            185     8e-24   80.9   0.0   2   2   1.2e-09   2.7e-07   27.0   0.0   114   185    89   174    71   174 0.74 -
NW_025965311.1_RagTag:1040035-927910 -            139 35742at314147        -            185   7.2e-21   71.2   0.1   1   2     0.014       3.3    3.9   0.0     1    25    17    41    17    42 0.89 -
NW_025965311.1_RagTag:1040035-927910 -            139 35742at314147        -            185   7.2e-21   71.2   0.1   2   2   2.2e-22   5.2e-20   68.4   0.0    40   138    39   137    35   139 0.94 -
NW_025965218.1_RagTag:845634-833156  -            159 35742at314147        -            185   4.4e-11   39.4   0.1   1   1   2.3e-13   5.4e-11   39.1   0.1     1    99    44   143    44   154 0.86 -
NW_025965045.1_RagTag:4303-3989      -            105 35742at314147        -            185   0.00023   17.4   0.3   1   2   4.5e-06     0.001   15.3   0.1    34    98     1    64     1    76 0.90 -
NW_025965045.1_RagTag:4303-3989      -            105 35742at314147        -            185   0.00023   17.4   0.3   2   2      0.15        34    0.6   0.0    24    47    74    97    66   101 0.81 -
contig_28026_pilon:1632-1748         -             39 35742at314147        -            185    0.0029   13.9   0.0   1   1   1.3e-05    0.0029   13.8   0.0    30    66     2    38     1    39 0.93 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/35742at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/hmmer_output/rerun_results/35742at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/35742at314147.hmm /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 17:29:55 2023
# [ok]
